test_number,scenario,iteration_index,objective_value,best_bound,optimality_gap,elapsed_seconds,hit_time_limit,selected_binary_count,unselected_binary_count,subproblem_status,stop_reason
1,1,1,30.487,30.456,0.030999999999998806,190.2,False,,,reported,reported
1,2,1,27.641,27.61,0.030999999999998806,106.7,False,,,reported,reported
2,1,1,24.989,24.963,0.0259999999999998,307.1,False,,,reported,reported
2,2,1,24.901,24.874,0.027000000000001023,382.2,False,,,reported,reported
3,1,1,27.182,27.081,0.10099999999999909,515.0,False,,,reported,reported
3,2,1,25.511,25.489,0.021999999999998465,789.1,False,,,reported,reported
4,1,1,24.164,24.138,0.0259999999999998,877.3,False,,,reported,reported
4,2,1,22.919,22.897,0.022000000000002018,959.1,False,,,reported,reported
5,1,1,66.738,63.047,3.6910000000000025,1716.3,False,,,reported,reported
5,2,1,64.863,60.211,4.652000000000001,1643.2,False,,,reported,reported
6,1,1,55.167,54.271,0.8960000000000008,2120.2,False,,,reported,reported
6,2,1,53.891,52.659,1.2319999999999993,2613.3,False,,,reported,reported
7,1,1,65.136,62.742,2.3939999999999984,2124.1,False,,,reported,reported
7,2,1,64.221,62.192,2.0290000000000035,2350.5,False,,,reported,reported
8,1,1,55.289,54.223,1.0660000000000025,2410.3,False,,,reported,reported
8,2,1,53.844,52.857,0.9870000000000019,2603.2,False,,,reported,reported
9,1,1,12.16,10.02,2.1400000000000006,1442.1,False,,,reported,reported
9,2,1,11.65,9.924,1.7260000000000009,1541.2,False,,,reported,reported
10,1,1,11.891,10.247,1.6440000000000001,1829.8,False,,,reported,reported
10,2,1,11.405,9.987,1.4179999999999993,1951.7,False,,,reported,reported
11,1,1,11.788,10.068,1.7200000000000006,2130.9,False,,,reported,reported
11,2,1,11.475,10.504,0.9710000000000001,2411.3,False,,,reported,reported
12,1,1,11.842,9.44,2.402000000000001,2511.3,False,,,reported,reported
12,2,1,11.252,9.235,2.0170000000000012,2621.2,False,,,reported,reported
