catalog,case_study,scenario,candidate_index,source_catalog,candidate_source,difference_type,variable_name
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,boiler_selected[reported-boiler]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_100]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_102p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_105]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_106p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_107p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_115]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_115p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_116p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_127p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_132p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_140p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_142p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_147p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_151p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_152p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_165]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_166p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_171p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_175p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_176p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_181p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_185]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_197p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_211p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_212p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_217p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_235]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_237p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_238p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_240]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_242]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_257p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_267p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_272p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_75]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_76p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_77p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_82p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_85]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_87p5]
