catalog,case_study,scenario,equipment_family,equipment_name,fuel_variable,fuel_multiplier,included_in_table_fuel_consumption,fuel_consumption,family_fuel_consumption,share_of_family,benchmark_fuel_consumption,table_fuel_consumption,fuel_consumption_residual
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,boiler,reported-boiler,boiler_fuel_consumption[reported-boiler],1.0,True,127.96073119141751,127.96073119141751,1.0,239.97,242.73735909469676,2.767359094696758
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,gas_turbine,reported-gt,gas_turbine_fuel_flow[reported-gt],13.08,True,84.00874377282275,84.00874377282275,1.0,239.97,242.73735909469676,2.767359094696758
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,hrsg_supplementary,reported-hrsg,hrsg_supplementary_fuel_flow[reported-hrsg],13.08,True,30.76788413045651,30.76788413045651,1.0,239.97,242.73735909469676,2.767359094696758
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,hot_oil,hot_oil_furnace,hot_oil_fuel_consumption,1.0,False,0.0,0.0,,239.97,242.73735909469676,2.767359094696758
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,boiler,reported-boiler,boiler_fuel_consumption[reported-boiler],1.0,True,114.73335209730625,114.73335209730625,1.0,245.04,248.5740702880787,3.534070288078709
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,gas_turbine,reported-gt,gas_turbine_fuel_flow[reported-gt],13.08,True,97.00804184041594,97.00804184041594,1.0,245.04,248.5740702880787,3.534070288078709
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,hrsg_supplementary,reported-hrsg,hrsg_supplementary_fuel_flow[reported-hrsg],13.08,True,36.83267635035649,36.83267635035649,1.0,245.04,248.5740702880787,3.534070288078709
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,hot_oil,hot_oil_furnace,hot_oil_fuel_consumption,1.0,False,0.0,0.0,,245.04,248.5740702880787,3.534070288078709
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,gas_turbine,reported-gt,gas_turbine_fuel_flow[reported-gt],13.08,True,109.61813936706328,109.61813936706328,1.0,121.96,125.08799602801042,3.127996028010429
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,hrsg_supplementary,reported-hrsg,hrsg_supplementary_fuel_flow[reported-hrsg],13.08,True,15.469856660947144,15.469856660947144,1.0,121.96,125.08799602801042,3.127996028010429
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,vhp_source,reported-auxiliary-vhp-source,vhp_source_fuel_consumption[reported-auxiliary-vhp-source],1.0,True,0.0,0.0,,121.96,125.08799602801042,3.127996028010429
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,hot_oil,hot_oil_furnace,hot_oil_fuel_consumption,1.0,False,66.08287874437747,66.08287874437747,1.0,121.96,125.08799602801042,3.127996028010429
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,gas_turbine,reported-gt,gas_turbine_fuel_flow[reported-gt],13.08,True,121.5795693254675,121.5795693254675,1.0,175.03,179.57048231342594,4.54048231342594
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,hrsg_supplementary,reported-hrsg,hrsg_supplementary_fuel_flow[reported-hrsg],13.08,True,57.990912987958424,57.990912987958424,1.0,175.03,179.57048231342594,4.54048231342594
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,hot_oil,hot_oil_furnace,hot_oil_fuel_consumption,1.0,False,66.08287874437745,66.08287874437745,1.0,175.03,179.57048231342594,4.54048231342594

