catalog,case_study,scenario,operating_cost_component,actual_operating_cost,benchmark_operating_cost,operating_cost_residual
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,fuel,50.60000000000001,50.6,7.105427357601002e-15
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,hot_oil,0.0,0.0,0.0
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,electricity,0.0,0.0,0.0
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,auxiliary_or_unallocated,3.173400000000001,2.229999999999997,0.943400000000004
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,total,53.77340000000001,52.83,0.9434000000000111
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,fuel,51.78000000000001,51.78,7.105427357601002e-15
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,hot_oil,0.0,0.0,0.0
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,electricity,-4.576913979999992,-3.5,-1.0769139799999916
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,auxiliary_or_unallocated,3.287199585999998,2.210000000000001,1.0771995859999972
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,total,50.490285606000015,50.49,0.00028560600001270586
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,fuel,25.96,25.96,0.0
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,hot_oil,13.810000000000002,13.81,1.7763568394002505e-15
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,electricity,0.0,0.0,0.0
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,auxiliary_or_unallocated,3.9399999999999977,3.9399999999999995,-1.7763568394002505e-15
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,total,43.71,43.71,0.0
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,fuel,29.10000000000001,29.1,7.105427357601002e-15
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,hot_oil,13.81,13.81,0.0
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,electricity,-3.5000000000000044,-3.5,-4.440892098500626e-15
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,auxiliary_or_unallocated,2.249999999999992,2.2499999999999947,-2.6645352591003757e-15
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,total,41.66,41.66,0.0

