test_number,scenario,best_method,best_solution_found,best_possible,optimality_gap,computational_time_seconds,hit_time_limit
1,1,s-milp,30.09,,,31.2,False
1,2,baron,27.638,27.61,0.028000000000002245,224.8,False
2,1,baron,24.989,24.974,0.015000000000000568,612.3,False
2,2,s-milp,24.832,,,30.2,False
3,1,baron,27.182,27.082,0.09999999999999787,5631.2,False
3,2,bilevel,25.511,25.489,0.021999999999998465,789.1,False
4,1,baron,24.164,24.14,0.02400000000000091,5144.2,False
4,2,baron,22.919,22.896,0.022999999999999687,8930.7,False
5,1,s-milp,66.38,,,77.8,False
5,2,s-milp,64.46,,,102.7,False
6,1,bilevel,55.167,54.271,0.8960000000000008,2120.2,False
6,2,bilevel,53.891,52.659,1.2319999999999993,2613.3,False
7,1,bilevel,65.136,62.742,2.3939999999999984,2124.1,False
7,2,s-milp,63.98,,,94.3,False
8,1,bilevel,55.289,54.223,1.0660000000000025,2410.3,False
8,2,bilevel,53.844,52.857,0.9870000000000019,2603.2,False
9,1,bilevel,12.16,10.02,2.1400000000000006,1442.1,False
9,2,bilevel,11.65,9.924,1.7260000000000009,1541.2,False
10,1,bilevel,11.891,10.247,1.6440000000000001,1829.8,False
10,2,bilevel,11.405,9.987,1.4179999999999993,1951.7,False
11,1,bilevel,11.788,10.068,1.7200000000000006,2130.9,False
11,2,bilevel,11.475,10.504,0.9710000000000001,2411.3,False
12,1,bilevel,11.842,9.44,2.402000000000001,2511.3,False
12,2,bilevel,11.252,9.235,2.0170000000000012,2621.2,False
