test_number,scenario,method,best_solution_found,best_possible,optimality_gap,computational_time_seconds,hit_time_limit
1,1,baron,30.487,30.456,0.030999999999998806,319.1,False
1,1,s-milp,30.09,,,31.2,False
1,1,bilevel,30.487,30.456,0.030999999999998806,190.2,False
1,2,baron,27.638,27.61,0.028000000000002245,224.8,False
1,2,s-milp,28.651,,,33.1,False
1,2,bilevel,27.641,27.61,0.030999999999998806,106.7,False
2,1,baron,24.989,24.974,0.015000000000000568,612.3,False
2,1,s-milp,25.479,,,32.4,False
2,1,bilevel,24.989,24.963,0.0259999999999998,307.1,False
2,2,baron,24.901,24.876,0.02499999999999858,497.4,False
2,2,s-milp,24.832,,,30.2,False
2,2,bilevel,24.901,24.874,0.027000000000001023,382.2,False
3,1,baron,27.182,27.082,0.09999999999999787,5631.2,False
3,1,s-milp,28.025,,,23.4,False
3,1,bilevel,27.182,27.081,0.10099999999999909,515.0,False
3,2,baron,25.514,26.489,-0.9750000000000014,6482.1,False
3,2,s-milp,26.717,,,26.5,False
3,2,bilevel,25.511,25.489,0.021999999999998465,789.1,False
4,1,baron,24.164,24.14,0.02400000000000091,5144.2,False
4,1,s-milp,25.201,,,38.1,False
4,1,bilevel,24.164,24.138,0.0259999999999998,877.3,False
4,2,baron,22.919,22.896,0.022999999999999687,8930.7,False
4,2,s-milp,23.927,,,33.5,False
4,2,bilevel,22.919,22.897,0.022000000000002018,959.1,False
5,1,baron,66.993,34.506,32.486999999999995,20000.0,True
5,1,s-milp,66.38,,,77.8,False
5,1,bilevel,66.738,63.047,3.6910000000000025,1716.3,False
5,2,baron,65.593,37.118,28.475,20000.0,True
5,2,s-milp,64.46,,,102.7,False
5,2,bilevel,64.863,60.211,4.652000000000001,1643.2,False
6,1,baron,55.395,31.54,23.855000000000004,20000.0,True
6,1,s-milp,56.01,,,104.5,False
6,1,bilevel,55.167,54.271,0.8960000000000008,2120.2,False
6,2,baron,54.859,30.848,24.011000000000003,20000.0,True
6,2,s-milp,54.718,,,85.3,False
6,2,bilevel,53.891,52.659,1.2319999999999993,2613.3,False
7,1,baron,66.002,32.914,33.087999999999994,20000.0,True
7,1,s-milp,65.481,,,81.4,False
7,1,bilevel,65.136,62.742,2.3939999999999984,2124.1,False
7,2,baron,64.657,31.156,33.501,20000.0,True
7,2,s-milp,63.98,,,94.3,False
7,2,bilevel,64.221,62.192,2.0290000000000035,2350.5,False
8,1,baron,57.418,30.695,26.723,20000.0,True
8,1,s-milp,56.178,,,98.1,False
8,1,bilevel,55.289,54.223,1.0660000000000025,2410.3,False
8,2,baron,56.283,29.286,26.997,20000.0,True
8,2,s-milp,54.901,,,101.3,False
8,2,bilevel,53.844,52.857,0.9870000000000019,2603.2,False
9,1,baron,12.301,9.281,3.0199999999999996,20000.0,True
9,1,s-milp,12.386,,,61.5,False
9,1,bilevel,12.16,10.02,2.1400000000000006,1442.1,False
9,2,baron,11.667,8.431,3.2360000000000007,20000.0,True
9,2,s-milp,12.351,,,58.7,False
9,2,bilevel,11.65,9.924,1.7260000000000009,1541.2,False
10,1,baron,11.981,9.059,2.9220000000000006,20000.0,True
10,1,s-milp,12.303,,,142.2,False
10,1,bilevel,11.891,10.247,1.6440000000000001,1829.8,False
10,2,baron,12.315,8.281,4.033999999999999,20000.0,True
10,2,s-milp,12.112,,,420.3,False
10,2,bilevel,11.405,9.987,1.4179999999999993,1951.7,False
11,1,baron,11.89,8.592,3.298,20000.0,True
11,1,s-milp,12.103,,,58.1,False
11,1,bilevel,11.788,10.068,1.7200000000000006,2130.9,False
11,2,baron,11.715,8.658,3.0570000000000004,20000.0,True
11,2,s-milp,11.781,,,62.1,False
11,2,bilevel,11.475,10.504,0.9710000000000001,2411.3,False
12,1,baron,11.981,8.276,3.705,20000.0,True
12,1,s-milp,12.012,,,145.2,False
12,1,bilevel,11.842,9.44,2.402000000000001,2511.3,False
12,2,baron,11.738,7.414,4.324,20000.0,True
12,2,s-milp,11.624,,,306.9,False
12,2,bilevel,11.252,9.235,2.0170000000000012,2621.2,False
