catalog,case_study,scenario,equipment_family,equipment_name,fuel_variable,fuel_consumption,selection_variable,selected,capacity_basis,actual_capacity_basis_value,capacity_value,capacity_utilization,benchmark_fuel_consumption,table_fuel_consumption,fuel_consumption_residual
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,boiler,reported-boiler,boiler_fuel_consumption[reported-boiler],127.96073119141751,boiler_selected[reported-boiler],True,steam_generation,128.76,128.76,1.0,239.97,242.73735909469676,2.767359094696758
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,gas_turbine,reported-gt,gas_turbine_fuel_flow[reported-gt],84.00874377282275,gas_turbine_selected[reported-gt],True,fuel_consumption,84.00874377282275,84.00874377282273,1.0000000000000004,239.97,242.73735909469676,2.767359094696758
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,hrsg_supplementary,reported-hrsg,hrsg_supplementary_fuel_flow[reported-hrsg],30.76788413045651,hrsg_supplementary_firing_selected[reported-hrsg],True,fuel_consumption,30.76788413045651,30.767884130456512,0.9999999999999999,239.97,242.73735909469676,2.767359094696758
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,hot_oil,hot_oil_furnace,hot_oil_fuel_consumption,0.0,hot_oil_furnace_selected,False,heat_load,0.0,,,239.97,242.73735909469676,2.767359094696758
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,boiler,reported-boiler,boiler_fuel_consumption[reported-boiler],114.73335209730625,boiler_selected[reported-boiler],True,steam_generation,115.45,115.45,1.0,245.04,248.5740702880787,3.534070288078709
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,gas_turbine,reported-gt,gas_turbine_fuel_flow[reported-gt],97.00804184041594,gas_turbine_selected[reported-gt],True,fuel_consumption,97.00804184041594,97.00804184041597,0.9999999999999997,245.04,248.5740702880787,3.534070288078709
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,hrsg_supplementary,reported-hrsg,hrsg_supplementary_fuel_flow[reported-hrsg],36.83267635035649,hrsg_supplementary_firing_selected[reported-hrsg],True,fuel_consumption,36.83267635035649,36.83267635035649,1.0,245.04,248.5740702880787,3.534070288078709
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,hot_oil,hot_oil_furnace,hot_oil_fuel_consumption,0.0,hot_oil_furnace_selected,False,heat_load,0.0,,,245.04,248.5740702880787,3.534070288078709
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,gas_turbine,reported-gt,gas_turbine_fuel_flow[reported-gt],109.61813936706328,gas_turbine_selected[reported-gt],True,fuel_consumption,109.61813936706328,109.61813936706329,0.9999999999999999,121.96,125.08799602801042,3.127996028010429
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,hrsg_supplementary,reported-hrsg,hrsg_supplementary_fuel_flow[reported-hrsg],15.469856660947144,hrsg_supplementary_firing_selected[reported-hrsg],True,fuel_consumption,15.469856660947144,15.469856660947144,1.0,121.96,125.08799602801042,3.127996028010429
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,vhp_source,reported-auxiliary-vhp-source,vhp_source_fuel_consumption[reported-auxiliary-vhp-source],0.0,vhp_source_selected[reported-auxiliary-vhp-source],True,fuel_consumption,0.0,0.0,,121.96,125.08799602801042,3.127996028010429
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,hot_oil,hot_oil_furnace,hot_oil_fuel_consumption,66.08287874437745,hot_oil_furnace_selected,True,heat_load,341.09643892256213,,,121.96,125.08799602801042,3.127996028010429
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,gas_turbine,reported-gt,gas_turbine_fuel_flow[reported-gt],121.5795693254675,gas_turbine_selected[reported-gt],True,fuel_consumption,121.5795693254675,121.57956932546747,1.0000000000000002,175.03,179.57048231342594,4.54048231342594
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,hrsg_supplementary,reported-hrsg,hrsg_supplementary_fuel_flow[reported-hrsg],57.990912987958424,hrsg_supplementary_firing_selected[reported-hrsg],True,fuel_consumption,57.990912987958424,57.990912987958424,1.0,175.03,179.57048231342594,4.54048231342594
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,hot_oil,hot_oil_furnace,hot_oil_fuel_consumption,66.08287874437747,hot_oil_furnace_selected,True,heat_load,328.4421387143639,,,175.03,179.57048231342594,4.54048231342594
