catalog,case_study,scenario,equipment_family,included_in_table_fuel_consumption,fuel_consumption,benchmark_fuel_consumption,table_fuel_consumption,fuel_consumption_residual
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,boiler,True,127.96073119141751,239.97,242.73735909469676,2.767359094696758
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,gas_turbine,True,84.00874377282275,239.97,242.73735909469676,2.767359094696758
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,hrsg_supplementary,True,30.76788413045651,239.97,242.73735909469676,2.767359094696758
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,vhp_source,True,0,239.97,242.73735909469676,2.767359094696758
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,hot_oil,False,0.0,239.97,242.73735909469676,2.767359094696758
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-stand-alone,table_total,True,242.73735909469676,239.97,242.73735909469676,2.767359094696758
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,boiler,True,114.73335209730625,245.04,248.5740702880787,3.534070288078709
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,gas_turbine,True,97.00804184041594,245.04,248.5740702880787,3.534070288078709
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,hrsg_supplementary,True,36.83267635035649,245.04,248.5740702880787,3.534070288078709
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,vhp_source,True,0,245.04,248.5740702880787,3.534070288078709
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,hot_oil,False,0.0,245.04,248.5740702880787,3.534070288078709
physical-profile,contribution-2-case-study-2-physical-profile,utility-system-microgrid,table_total,True,248.5740702880787,245.04,248.5740702880787,3.534070288078709
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,boiler,True,0,121.96,125.08799602801042,3.127996028010429
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,gas_turbine,True,109.61813936706328,121.96,125.08799602801042,3.127996028010429
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,hrsg_supplementary,True,15.469856660947144,121.96,125.08799602801042,3.127996028010429
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,vhp_source,True,0.0,121.96,125.08799602801042,3.127996028010429
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,hot_oil,False,66.08287874437745,121.96,125.08799602801042,3.127996028010429
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-stand-alone,table_total,True,125.08799602801042,121.96,125.08799602801042,3.127996028010429
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,boiler,True,0,175.03,179.57048231342594,4.54048231342594
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,gas_turbine,True,121.5795693254675,175.03,179.57048231342594,4.54048231342594
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,hrsg_supplementary,True,57.990912987958424,175.03,179.57048231342594,4.54048231342594
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,vhp_source,True,0,175.03,179.57048231342594,4.54048231342594
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,hot_oil,False,66.08287874437747,175.03,179.57048231342594,4.54048231342594
physical-profile,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,table_total,True,179.57048231342594,175.03,179.57048231342594,4.54048231342594
